1.1.1.4. Egyes termékek és szolgáltatások éves fogyasztói átlagára (nyers adatok) [Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kódszám;Termék, szolgáltatás;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
17308;Ásványvíz, 1,5 literes, mûanyag palackban;..;..;..;..;..;..;..;..;..;..;..;..;..;..;112;106;102;105;104;100;100;102;103;107;112;114;116;139;181;..
17309;Coca Cola vagy Pepsi 1–2,5 l-es palackban, liter;..;..;..;..;198;217;225;234;241;257;251;249;263;280;295;295;316;351;366;373;358;331;344;353;375;385;387;451;357;383
18001;Földrajzi jelzés nélküli (FN) fehér bor, 0,75–2l, liter;110;152;176;188;195;209;245;268;276;291;289;279;283;445;457;451;467;546;690;613;586;576;565;574;571;586;615;698;440;473
18002;Földrajzi jelzés nélküli (FN) vörös bor, 0,75–2l, liter;118;166;203;223;221;229;278;308;326;355;356;329;329;468;478;462;479;549;691;611;618;621;605;613;606;616;656;755;441;472
18007;Tankpezsgõ, 0,75 literes, palack;250;302;350;383;397;420;480;561;599;651;665;703;762;815;864;897;914;950;983;996;975;981;988;1 040;1 040;1 060;1 090;1 230;1 440;1 530
18101;Sör, világos, lager típusú, 0,33–0,5 l, liter;45;56;66;74;82;89;99;108;117;124;119;119;130;141;155;172;176;185;192;190;191;189;194;203;214;222;229;268;711;744
18102;Sör, felsõerjesztésû (IPA, APA vagy ale) vagy búza, 0,33–0,5 l, liter;62;78;91;101;108;117;125;138;148;162;168;172;179;188;204;219;222;227;236;225;219;216;219;227;243;255;266;306;868;901
18204;Vodka, szeszes ital, 0,5–1 literes palackban, liter;428;566;672;761;822;878;965;1 020;1 060;1 170;1 160;1 270;1 400;1 450;1 520;1 660;1 700;1 810;1 870;1 880;2 220;2 160;2 540;2 580;2 740;2 790;2 890;3 140;6 930;7 100
18205;Unicum, 0,5 literes (ízesített is), nem díszdobozos kivitel,palack;795;953;1 120;1 340;1 510;1 700;1 930;2 030;2 040;2 130;2 150;2 200;2 340;2 430;2 510;2 680;2 740;2 870;2 900;2 910;3 020;3 060;3 190;3 330;3 950;4 270;4 300;4 820;5 450;5 610
18211;Ízesített szeszesital, 0,2 l-es, legalább 30% alkoholtartalom, palack;166;208;254;285;304;317;335;356;363;391;397;418;456;485;521;590;599;668;682;646;779;771;826;865;963;1 050;1 120;1 260;1 530;1 600
19002;Cigaretta, Sopianae, multifilteres, rövid, 20 db, csomag;86;115;139;169;198;228;258;287;344;411;433;461;481;502;547;602;557;690;814;946;968;992;1 080;1 150;1 260;1 390;1 640;1 730;2 040;2 190
19005;Multifilter cigaretta, 20 db, csomag;115;146;175;210;239;272;301;332;389;462;456;476;501;523;569;619;591;712;835;973;1 010;1 040;1 120;1 190;1 300;1 420;1 680;1 870;2 110;2 220
19011;Symphonia cigaretta, 20 db, csomag;82;109;130;157;183;210;236;262;314;377;411;401;430;451;491;538;550;663;787;912;947;980;1 040;1 080;1 180;1 270;..;..;..;..
19015;Pall Mall cigarettadohány, 40 g, csomag;..;..;..;..;..;..;..;..;..;..;..;..;362;394;449;536;545;672;847;900;933;1 010;1 270;1 480;1 720;1 990;2 270;2 540;2 990;3 090
31071;Férfi átmeneti kabát, mûselyem vagy szintetikus selyem béléssel, 100 cm-es háthossznál hosszabb, db;10 050;12 850;15 010;17 400;20 380;21 660;21 330;22 310;23 130;23 240;23 780;22 650;23 310;23 870;22 150;22 940;23 240;23 550;22 500;21 900;21 830;22 360;22 400;23 120;23 610;21 970;22 660;25 040;28 480;24 450
31085;Férfifarmernadrág, db;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8 670;8 830;9 310;9 630;9 190;9 560;9 580;9 760;10 000;10 270;10 380;10 230;10 410;11 710;13 050;13 560
31095;Férfiing, hosszú ujjú, minimum 65%-os pamuttartalom;1 840;2 540;3 060;3 900;4 460;5 050;5 490;5 820;6 010;6 120;5 870;5 740;5 840;5 750;5 770;5 520;5 650;5 750;5 580;5 860;5 890;5 870;6 000;6 140;6 150;6 150;6 420;7 440;8 850;9 540
31506;Férfi félcipõ, bõr, ragasztott mûtalp, pár;4 440;5 510;6 340;7 260;8 220;8 800;9 450;10 540;11 260;11 780;11 880;11 740;12 100;12 380;12 500;12 830;13 380;14 110;14 560;15 330;16 050;16 770;17 560;18 070;18 410;18 280;18 620;20 170;22 820;23 920
31508;Férfi-szabadidõcipõ, bõr, mûbõr-, textil kombinációval is, ragasztott mûtalp,pár;4 090;5 070;6 040;6 890;7 400;7 420;8 000;8 440;8 740;9 500;9 750;9 920;9 840;9 780;9 780;9 990;10 370;10 610;10 790;11 250;11 810;12 290;12 890;13 330;13 670;13 360;13 540;15 310;17 480;18 540
32071;Nõi átmeneti kabát, mûselyem vagy szintetikus selyembéléssel, 100–115 cm-es háthosszal, db;9 330;12 050;14 080;17 390;21 380;21 300;20 780;20 780;20 290;19 120;17 720;18 240;18 660;18 260;18 280;17 870;17 980;19 590;18 020;17 670;17 630;18 310;18 650;18 870;18 760;18 920;19 760;21 400;23 910;23 540
32086;Nõi farmernadrág, db;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7 330;7 270;7 910;7 740;7 820;7 930;7 860;7 800;8 240;8 490;8 410;8 220;8 500;9 370;10 360;10 740
32089;Nõi pulóver, akril, vékony, hosszú ujjú, db;2 260;2 740;3 270;3 770;4 070;4 270;4 480;4 680;4 850;4 810;4 570;4 370;4 570;4 620;4 720;4 870;5 060;5 240;5 150;5 120;5 110;5 350;5 650;5 680;5 690;5 670;5 750;6 370;7 560;7 940
32503;Nõi félcipõ, bõr, ragasztott mûtalp, pár;3 560;4 680;5 700;6 820;7 640;8 110;8 590;9 380;10 210;10 770;10 880;11 270;11 270;11 490;11 510;11 680;12 170;12 770;13 040;13 770;14 260;15 010;15 530;16 130;16 180;16 630;17 350;18 830;21 830;22 560
32507;Nõi szandál, mûbõr, ragasztott mûtalp,pár;2 040;2 780;3 500;4 020;4 570;4 570;5 010;5 150;5 410;5 410;5 290;5 480;5 650;5 330;5 780;5 700;6 150;6 180;6 390;6 330;6 420;6 890;6 950;7 310;7 630;7 420;8 330;9 680;10 890;12 010
33501;Gyerek száras cipõ, bõr, ragasztott mûtalp, 23–26, pár;2 510;3 390;4 110;4 580;4 910;5 160;5 520;6 050;6 220;6 410;6 590;6 820;7 080;7 190;7 190;7 350;7 810;8 150;8 290;8 570;8 800;9 050;9 660;10 150;10 480;10 700;11 110;11 760;12 980;13 520
34208;Gurulós bõrönd, kb. 55x40x20 cm, db;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;12 730;12 040;12 380;15 890;20 270;21 010
34275;Hátizsák, ûrtartalom kb. 30 l, db;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5 510;5 640;6 000;6 240;6 390;6 480;6 750;6 930;7 190;7 210;7 570;7 930;9 120;11 170;12 050
40049;Telekárpitozott sarok ülõgarnitúra, nyitható ágyszerkezettel, 260–300 cm x 140–180 cm, garnitúra;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;216 470;240 820;283 110;316 090;323 260
40101;Konyhaszekrény alsórész elem, 80–90 cm, 2 részes rozsdamentes mosogatóval szerelt, db;25 580;31 870;35 430;38 170;38 390;38 140;39 060;39 090;39 840;38 860;36 760;34 740;34 860;35 590;35 560;34 960;33 640;35 220;35 510;34 880;35 210;36 160;37 200;38 430;40 970;42 920;47 000;58 100;66 110;67 120
40103;Étkezõasztal 70–90x110–140 cm, db;6 170;8 150;10 160;11 470;13 090;13 960;14 160;14 750;15 390;15 970;16 510;16 480;17 490;17 900;18 700;19 740;19 750;21 900;23 120;24 290;26 470;27 560;29 090;30 140;32 620;35 730;42 450;54 260;66 300;67 960
40142;Gyermekkocsi, mély-vagy variálható (ikerkocsi kivételével), db;19 030;23 210;25 830;28 520;30 700;32 300;34 420;36 320;36 400;37 410;38 910;39 300;40 790;41 350;43 620;43 660;44 840;46 890;45 560;44 640;45 390;47 100;49 890;52 910;57 610;66 620;76 630;96 360;121 400;131 070
40207;Hûtõszekrény, egyajtós, kb. 75–150 l, db;..;33 790;38 310;43 410;48 590;51 320;51 750;60 760;60 210;61 390;62 430;61 680;63 670;64 310;66 000;68 090;58 860;58 210;58 500;60 290;60 420;60 130;59 640;59 640;61 560;62 480;68 640;82 710;92 110;90 890
40302;Automata mosógép 6–8 kg;45 200;54 840;60 140;65 280;75 440;78 430;78 760;77 190;75 200;74 940;75 740;73 620;73 410;72 500;75 160;77 410;78 280;84 780;84 030;86 700;89 110;94 820;95 300;96 840;99 680;106 000;115 110;135 580;155 850;160 260
40402;Olajtöltésû villamos radiátor, 2000–2200 W teljesítmény;11 770;13 330;13 870;14 320;14 320;14 630;15 190;15 200;14 520;13 980;13 200;12 970;13 560;13 280;13 170;13 080;13 300;13 680;13 970;14 090;14 520;15 130;15 650;15 830;16 580;18 050;19 970;26 570;30 290;28 840
40442;Gáztûzhely 3–4 fõzõhelyes, db;33 600;49 920;45 100;48 960;55 341;59 460;61 680;62 650;61 260;61 270;60 830;57 500;57 910;58 520;59 080;60 980;61 400;63 820;64 430;65 100;66 610;67 960;68 360;68 070;70 530;72 240;78 310;92 140;116 430;122 130
40502;Porszívó, 650–900 W-os, porzsák nélküli;16 640;19 100;20 490;21 180;21 210;20 680;20 640;22 050;20 770;18 710;17 670;15 820;15 130;14 800;15 040;15 650;15 630;16 860;17 500;18 070;18 980;21 810;23 000;26 540;27 760;27 480;28 080;30 920;35 030;37 040
41306;"Férfi kerékpár, 26–28"", 3–24 sebesség";21 010;23070;25370;27 020;27 920;29 370;30 590;31 340;31 020;31 190;31 870;32 230;33 500;35 110;38 470;41 710;44 520;49 150;52 440;55 320;60 640;64 740;67 600;70 910;79 710;88 450;101 470;122 050;..;..
42107;LCD-LED televízió (76–82 cm), Full HD, db;..;..;..;..;..;..;..;..;..;..;..;..;..;154 140;131 830;123 440;110 680;98 250;85 490;82 350;80 890;78 970;78 710;76 190;72 470;68 560;73 080;83 110;81 300;80 860
42431;Férfi kvarcóra, analóg, márkás, db;12 240;14 730;16 080;17 540;19 330;20 500;20 940;21 670;22 780;23 810;24 440;24 670;25 410;25 590;25 710;25 860;26 100;26 870;26 370;26 510;26 330;25 880;25 690;25 590;26 660;28 400;28 410;31 260;34 380;34 850
42433;Nõi kvarcóra, analóg, márkás, db;10 760;12 880;14 320;15 610;17 230;18 840;19 390;20 320;21 620;22 300;22 810;22 760;23 310;22 980;22 870;22 970;23 380;23 940;23 820;23 080;22 880;22 280;21 720;21 700;22 080;23 170;23 380;25 280;27 690;27 870
